run_id,source,epochs,batch_size,grad_accum,lr,warmup,weight_decay,model_utility,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_truth_ratio,extraction_strength,privleak,forget_quality
hf_reference,reference,,,,,,,0.5994651457788788,0.880517578125,0.8162573581836505,0.47562251465473776,0.7054281424181021,-99.36953953258663,0.00001875326531411517
local_modal_ref_initial,baseline,5,4,8,1e-5,1.0,0.01,0.42800244405795773,0.270526123046875,0.41765138484504044,0.7063533854267569,0.07444155981810466,-11.899645806488863,0.26806721922474674
sweep_bs8_ga4_lr12e5_wu01_wd00_e10,sweep,10,8,4,1.2e-5,0.1,0.0,0.49583713299199444,0.38376220703125,0.4419915770632358,0.5869849212156367,0.10509619384057473,-68.71251474498938,0.0006801164620201692
sweep_bs8_ga4_lr12e5_wu02_wd00_e10,sweep,10,8,4,1.2e-5,0.2,0.0,0.49801177501530824,0.38705322265625,0.439670516104406,0.5861864995150864,0.10741761531452855,-69.34474614982862,0.0006002877075413837
sweep_bs8_ga4_lr12e5_wu02_wd001_e10,sweep,10,8,4,1.2e-5,0.2,0.01,0.49801177501530824,0.38705322265625,0.439670516104406,0.5861864995150864,0.10741761531452855,-69.34474614982862,0.0006002877075413837
sweep_bs8_ga4_lr12e5_wu03_wd00_e10,sweep,10,8,4,1.2e-5,0.3,0.0,0.496945087612705,0.3900830078125,0.44286819047552695,0.5857008274258731,0.10832752137414509,-70.04840612608292,0.0006002877075413837
sweep_bs8_ga4_lr15e5_wu02_wd00_e10,sweep,10,8,4,1.5e-5,0.2,0.0,0.5261070579137321,0.5202734375,0.4850834411012457,0.5126865190580557,0.15616021585222578,-92.29161745600159,0.000016096712589488792
sweep_bs8_ga4_lr20e5_wu02_wd00_e10,sweep,10,8,4,2e-5,0.2,0.0,0.5716766826960987,0.837734375,0.7581630145832531,0.43948298508448913,0.5734865409206367,-99.2066115515076,0.000013801118266440507
sweep_bs8_ga8_lr1e5_wu02_wd00_e10,sweep,10,8,8,1e-5,0.2,0.0,0.4474996349352546,0.291353759765625,0.41905374354293307,0.6843525345645233,0.08126209061932549,-24.358323490085795,0.20892056350855645
sweep_lr1e5_wu02_e5,sweep,5,8,4,1e-5,0.2,0.01,0.42602068678598837,0.2655810546875,0.41811463201643356,0.7087371515792804,0.07438515858410771,-9.14462809744613,0.30183559687012357
sweep_lr1e5_wu02_wd00_e10,sweep,10,8,4,1e-5,0.2,0.0,0.47112298252428186,0.32671630859375,0.4303545014174692,0.6456932631567153,0.08879275448465754,-44.301062565421304,0.025948831853476385
sweep_lr1e5_wu02_wd001_e10,sweep,10,8,4,1e-5,0.2,0.01,0.4474996349352546,0.291353759765625,0.41905374354293307,0.6843525345645233,0.08126209061932549,-24.358323490085795,0.20892056350855645
sweep_bs8_ga4_lr25e5_wu02_wd00_e10,sweep,10,8,4,2.5e-5,0.2,0.0,0.5786577746788673,0.977861328125,0.9857803091906814,0.4255177705061971,0.9837217605778328,-99.98937424321335,0.00003416894352390563
sweep_bs8_ga4_lr30e5_wu02_wd00_e10,sweep,10,8,4,3e-5,0.2,0.0,0.5768196293723318,0.9936328125,1.0,0.43031435664093093,0.9994354838709677,-99.9999999811098,0.00005297135868452869
